birthCity,birthCountryCode,birthDate,birthStateProvinceCode,draftOverall,draftRound,draftYear,fullName,height,isInHallOfFameYn,lastName,nationalityCode,playerId,catches,weight,seasonId,assists,gamesPlayed,gamesStarted,goals,goalsAgainst,goalsAgainstAverage,losses,otLosses,penaltyMinutes,points,savePct,saves,shotsAgainst,shutouts,teamAbbrevs,ties,timeOnIce,wins
Surahammar,SWE,1971-02-01,NA,118,5,1993,Tommy Salo,72,N,Salo,SWE,8459541,L,180,20032004,0,1,0,0,0,0,0,NA,2,0,1,7,7,0,COL,0,1597,0
Dugald,CAN,1972-03-29,MB,11,1,1990,Trevor Kidd,74,N,Kidd,CAN,8456830,L,213,20032004,2,16,14,0,49,3.20808,5,NA,2,2,0.87719,350,399,1,TOR,2,54986,6
Phoenix,USA,1976-03-30,AZ,NA,NA,NA,Ty Conklin,73,N,Conklin,USA,8469152,L,185,20032004,0,38,35,0,84,2.41633,14,NA,17,0,0.9124,875,959,1,EDM,4,125148,17
Tampere,FIN,1977-05-20,NA,90,4,1995,Vesa Toskala,70,N,Toskala,FIN,8462117,L,198,20032004,1,28,24,0,53,2.06368,8,NA,2,1,0.93026,707,760,1,SJS,4,92456,12
Invermere,CAN,1979-01-30,BC,NA,NA,NA,Wade Dubielewicz,70,N,Dubielewicz,CAN,8470584,L,185,20032004,0,2,1,0,3,1.71537,0,NA,0,0,0.94,47,50,0,NYI,1,6296,1
Peterborough,CAN,1976-09-17,ON,212,9,1995,Zac Bierk,77,N,Bierk,CAN,8462247,L,205,20032004,0,4,4,0,12,3.79013,1,NA,2,0,0.88888,96,108,0,PHX,2,11398,0
St. Paul,USA,1981-05-16,MN,240,8,2000,Adam Berkhoel,71,N,Berkhoel,USA,8468720,L,185,20052006,0,9,7,0,30,3.80228,4,1,0,0,0.88235,225,255,0,ATL,NA,28404,2
Bovey,USA,1980-05-27,MN,81,3,1999,Adam Hauser,74,N,Hauser,USA,8467954,L,192,20052006,0,1,0,0,6,7.08428,0,0,0,0,0.75,18,24,0,LAK,NA,3049,0
St. George,CAN,1982-11-12,ON,29,1,2001,Adam Munro,73,N,Munro,CAN,8469482,L,187,20052006,1,10,10,0,25,2.9958,5,2,0,1,0.89316,209,234,1,CHI,NA,30042,3
Cold Lake,CAN,1981-01-07,AB,40,2,1999,Alex Auld,76,N,Auld,CAN,8467913,L,215,20052006,2,67,64,0,189,2.93864,26,6,4,2,0.90247,1749,1938,0,VAN,NA,231535,33
Belleville,CAN,1980-05-04,ON,135,5,1998,Andrew Raycroft,73,N,Raycroft,CAN,8467453,L,180,20052006,0,30,28,0,100,3.70702,19,2,0,0,0.87864,724,824,0,BOS,NA,97113,8
Turku,FIN,1980-06-18,NA,168,6,1998,Antero Niittymaki,73,N,Niittymaki,FIN,8467511,L,195,20052006,1,48,42,0,138,2.99699,15,6,0,1,0.89343,1157,1295,2,PHI,NA,165766,23
Farmington,USA,1977-03-12,MI,129,5,1995,Brent Johnson,75,N,Johnson,USA,8462161,L,199,20052006,0,26,23,0,81,3.44022,12,1,14,0,0.90515,773,854,1,WSH,NA,84762,9
Woonsocket,USA,1977-01-02,RI,22,1,1995,Brian Boucher,74,N,Boucher,USA,8462052,L,200,20052006,0,14,11,0,48,4.14995,8,0,2,0,0.87061,323,371,0,"PHX,CGY",NA,41639,4
Braintree,USA,1980-05-24,MA,226,7,2000,Brian Eklund,76,N,Eklund,USA,8468706,L,211,20052006,0,1,1,0,3,3.09189,1,0,0,0,0.8421,16,19,0,TBL,NA,3493,0
Sault Ste. Marie,CAN,1981-07-03,ON,6,1,1999,Brian Finley,74,N,Finley,CAN,8467879,R,205,20052006,0,1,1,0,7,7,1,0,0,0,0.82926,34,41,0,NSH,NA,3600,0
Saskatoon,CAN,1984-02-29,SK,25,1,2002,Cam Ward,73,N,Ward,CAN,8470320,L,194,20052006,3,51,46,0,138,2.95304,16,2,0,3,0.8983,1219,1357,2,CAR,NA,168233,29
Vancouver,CAN,1985-06-05,BC,180,6,2003,Chris Holt,75,N,Holt,CAN,8470772,L,229,20052006,0,1,0,0,0,0,0,0,0,0,1,2,2,0,NYR,NA,624,0
Red Deer,CAN,1976-04-20,AB,122,5,1995,Chris Mason,72,N,Mason,CAN,8462152,L,198,20052006,0,28,25,1,69,2.71921,9,1,0,1,0.91015,699,768,2,NSH,NA,91350,13
Peace River,CAN,1972-11-26,AB,54,3,1991,Chris Osgood,70,N,Osgood,CAN,8458568,L,180,20052006,0,32,29,0,85,2.76268,6,5,8,0,0.89734,743,828,2,DET,NA,110762,20
Montréal,CAN,1984-12-31,QC,52,2,2003,Corey Crawford,74,N,Crawford,CAN,8470645,L,216,20052006,0,2,1,0,5,3.47021,0,1,0,0,0.87804,36,41,0,CHI,NA,5187,0
Park Ridge,USA,1981-05-21,IL,73,3,2001,Craig Anderson,74,N,Anderson,USA,8467950,L,187,20052006,1,29,21,0,86,3.3216,12,4,14,1,0.88639,671,757,1,"CHI,CHI",NA,93208,6
Saint-Martin-d'Hères,FRA,1975-09-03,NA,214,7,2001,Cristobal Huet,73,N,Huet,FRA,8469658,L,205,20052006,0,42,39,0,92,2.21811,15,4,0,0,0.92906,1205,1297,7,MTL,NA,149316,20
Keswick,CAN,1967-04-29,ON,NA,NA,NA,Curtis Joseph,71,N,Joseph,CAN,8448382,L,193,20052006,1,60,59,0,166,2.9087,21,3,18,1,0.90177,1524,1690,4,PHX,NA,205452,32
Owen Sound,CAN,1979-10-05,ON,NA,NA,NA,Curtis Sanford,71,N,Sanford,CAN,8468166,L,187,20052006,0,34,31,0,81,2.65513,13,5,0,0,0.90847,804,885,3,STL,NA,109825,13
Mont-Laurier,CAN,1976-04-22,QC,26,1,1994,Dan Cloutier,73,N,Cloutier,CAN,8460516,L,195,20052006,0,13,13,0,36,3.17234,3,1,4,0,0.89221,298,334,0,VAN,NA,40853,8
Val-d'Or,CAN,1980-09-02,QC,108,4,1998,Dany Sabourin,76,N,Sabourin,CAN,8467430,L,204,20052006,0,1,1,0,4,11.67883,1,0,0,0,0.71428,10,14,0,PIT,NA,1233,0
Fribourg,CHE,1978-02-07,NA,161,6,1997,David Aebischer,73,N,Aebischer,CHE,8466290,L,187,20052006,3,50,49,0,149,3.08799,17,2,16,3,0.89884,1324,1473,3,"MTL,COL",NA,173705,29
Fernie,CAN,1983-05-23,BC,46,2,2002,David Leneveu,73,N,Leneveu,CAN,8470263,L,190,20052006,0,15,12,0,44,3.24297,8,2,0,0,0.88601,342,386,0,PHX,NA,48844,3
Pardubice,CZE,1965-01-29,NA,199,10,1983,Dominik Hasek,73,Y,Hasek,CZE,8447687,L,166,20052006,0,43,42,0,90,2.08981,10,4,16,0,0.92512,1112,1202,5,OTT,NA,155038,28
Simcoe,CAN,1969-10-12,ON,NA,NA,NA,Dwayne Roloson,73,N,Roloson,CAN,8460806,L,170,20052006,1,43,42,0,115,2.73415,24,5,8,1,0.90843,1141,1256,2,"MIN,EDM",NA,151418,14
Simcoe,CAN,1969-10-12,ON,NA,NA,NA,Dwayne Roloson,73,N,Roloson,CAN,8460806,L,170,20052006,2,18,18,0,45,2.32815,5,NA,14,2,0.92718,573,618,1,EDM,NA,69583,12
Carman,CAN,1965-04-21,MB,NA,NA,NA,Ed Belfour,72,Y,Belfour,CAN,8445386,L,214,20052006,1,49,49,0,159,3.29319,22,4,12,1,0.89227,1317,1476,0,TOR,NA,173813,22
Kamenogorsk,KAZ,1975-07-25,NA,219,9,1994,Evgeni Nabokov,72,N,Nabokov,RUS,8460705,L,202,20052006,1,46,44,0,134,3.10852,19,7,18,1,0.88487,1030,1164,1,SJS,NA,155186,16
Sorel,CAN,1975-06-12,QC,210,9,1994,Frederic Cassivi,76,N,Cassivi,CAN,8460696,L,220,20052006,0,1,1,0,4,4.08974,1,0,0,0,0.86666,26,30,0,WSH,NA,3521,0
Wrentham,USA,1969-07-28,MA,114,6,1987,Garth Snow,75,N,Snow,USA,8458075,L,200,20052006,0,20,16,0,68,3.72234,13,1,2,0,0.88571,527,595,0,NYI,NA,65765,4
Romeoville,USA,1985-04-03,IL,224,7,2003,Gerald Coleman,76,N,Coleman,USA,8470813,L,213,20052006,0,2,0,0,2,2.77349,0,1,0,0,0.88235,15,17,0,TBL,NA,2596,0
Kalvola,FIN,1984-05-18,NA,29,1,2002,Hannu Toivonen,74,N,Toivonen,FIN,8470084,L,200,20052006,0,20,19,0,51,2.63199,5,4,6,0,0.91355,539,590,1,BOS,NA,69757,9
Are,SWE,1982-03-02,NA,205,7,2000,Henrik Lundqvist,73,Y,Lundqvist,SWE,8468685,L,182,20052006,2,56,53,0,129,2.35319,15,9,0,2,0.91751,1435,1564,2,NYR,NA,197349,30
Togliatti,RUS,1980-06-22,NA,44,2,2000,Ilya Bryzgalov,75,N,Bryzgalov,RUS,8468524,L,213,20052006,2,42,34,0,82,2.20213,16,1,6,2,0.91944,936,1018,4,ANA,NA,134052,19
Edmonton,CAN,1971-06-30,AB,48,3,1991,Jamie McLennan,72,N,McLennan,CAN,8458562,L,199,20052006,0,17,9,0,34,3.00958,4,2,0,0,0.90555,326,360,0,FLA,NA,40670,2
Garden City,USA,1982-09-20,MI,26,1,2001,Jason Bacashihua,71,N,Bacashihua,USA,8469479,L,177,20052006,1,19,17,0,52,3.22959,10,1,0,1,0.89902,463,515,0,STL,NA,57964,4
Burnaby,CAN,1980-01-18,BC,66,3,1998,Jason LaBarbera,75,N,LaBarbera,CAN,8467391,L,232,20052006,1,29,21,0,69,2.88998,9,2,0,1,0.8997,619,688,1,LAK,NA,85952,11
Montréal,CAN,1977-07-19,QC,76,3,1995,Jean-Sebastien Aubin,71,N,Aubin,CAN,8462102,R,180,20052006,0,11,11,0,25,2.21434,0,2,0,0,0.92424,305,330,1,TOR,NA,40644,9
Montréal,CAN,1977-05-16,QC,13,1,1995,Jean-Sebastien Giguere,73,N,Giguere,CAN,8462044,L,202,20052006,0,66,64,0,168,2.7245,18,11,20,0,0.90789,1656,1824,2,ANA,NA,221985,33
Syracuse,USA,1984-03-26,NY,64,2,2003,Jimmy Howard,73,N,Howard,USA,8470657,L,218,20052006,0,4,4,0,10,2.99028,2,0,0,0,0.90384,94,104,0,DET,NA,12039,1
Montréal,CAN,1975-01-12,QC,10,1,1993,Jocelyn Thibault,71,N,Thibault,CAN,8459432,L,169,20052006,0,16,13,0,60,4.46262,9,3,2,0,0.87603,424,484,0,PIT,NA,48402,1
Leksand,SWE,1973-05-05,NA,218,9,1994,Johan Hedberg,72,N,Hedberg,SWE,8460704,L,190,20052006,2,19,15,0,48,2.66955,4,1,6,2,0.8983,424,472,0,DAL,NA,64730,12
Denver,USA,1975-08-31,CO,229,9,1994,John Grahame,75,N,Grahame,USA,8460715,L,220,20052006,1,61,58,0,176,3.16128,25,1,14,1,0.8863,1372,1548,5,TBL,NA,200425,30
New Westminster,CAN,1981-02-19,BC,209,7,2001,Jordan Sigalet,73,N,Sigalet,CAN,8469653,L,180,20052006,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,BOS,NA,43,0
Laval,CAN,1976-09-13,QC,44,2,1994,Jose Theodore,71,N,Theodore,CAN,8460535,R,172,20052006,0,9,9,0,29,3.03585,5,NA,0,0,0.90202,267,296,0,COL,NA,34389,4
Laval,CAN,1976-09-13,QC,44,2,1994,Jose Theodore,71,N,Theodore,CAN,8460535,R,172,20052006,1,43,41,0,137,3.41041,18,6,2,1,0.88169,1021,1158,0,"MTL,COL",NA,144616,18
Regina,CAN,1984-06-18,SK,38,2,2002,Josh Harding,74,N,Harding,CAN,8470216,R,194,20052006,0,3,3,0,8,2.59459,1,0,0,0,0.90361,75,83,1,MIN,NA,11100,2
Imatra,FIN,1975-05-08,NA,133,5,2001,Jussi Markkanen,72,N,Markkanen,FIN,8462255,L,182,20052006,1,43,38,0,118,2.97983,15,6,0,1,0.88316,892,1010,1,EDM,NA,142558,18
Helsinki,FIN,1983-11-16,NA,2,1,2002,Kari Lehtonen,76,N,Lehtonen,FIN,8470140,L,209,20052006,1,38,37,0,106,2.93694,15,0,4,1,0.9056,1017,1123,2,ATL,NA,129931,20
Toronto,CAN,1975-04-04,ON,41,2,1993,Kevin Weekes,74,N,Weekes,CAN,8459463,L,215,20052006,1,33,33,0,95,2.98426,15,3,6,1,0.89349,797,892,0,NYR,NA,114601,14
Etobicoke,CAN,1974-08-27,ON,52,3,1992,Manny Fernandez,72,N,Fernandez,CAN,8458988,L,207,20052006,3,58,56,0,130,2.28656,18,7,6,3,0.91935,1482,1612,1,MIN,NA,204674,30
Toronto,CAN,1973-02-04,ON,188,8,1993,Manny Legace,70,N,Legace,CAN,8459308,L,200,20052006,1,57,55,0,124,2.24583,12,3,0,1,0.91136,1275,1399,7,DET,NA,198768,39
Montréal,CAN,1977-08-01,QC,25,1,1995,Marc Denis,73,N,Denis,CAN,8462055,L,193,20052006,1,49,45,0,151,3.25162,25,1,2,1,0.89966,1354,1505,1,CBJ,NA,167178,21
Sorel,CAN,1984-11-28,QC,1,1,2003,Marc-Andre Fleury,74,N,Fleury,CAN,8470594,L,185,20052006,1,50,45,0,152,3.24645,27,6,0,1,0.89764,1333,1485,1,PIT,NA,168553,13
Lac St. Charles,CAN,1977-08-15,QC,16,1,1995,Martin Biron,74,N,Biron,CAN,8462047,L,186,20052006,1,35,31,0,93,2.88493,8,3,10,1,0.9051,887,980,1,BUF,NA,116051,21
Montréal,CAN,1972-05-06,QC,20,1,1990,Martin Brodeur,74,Y,Brodeur,CAN,8455710,L,220,20052006,3,82,82,0,207,2.53595,27,7,6,3,0.91251,2159,2366,6,NJD,NA,293854,48
Burgdorf,CHE,1974-09-03,NA,232,8,2001,Martin Gerber,72,N,Gerber,CHE,8469675,L,205,20052006,2,66,61,0,175,2.82687,15,6,8,2,0.90326,1634,1809,4,CAR,NA,222861,39
Ostrava,CZE,1975-12-11,NA,164,6,1999,Martin Prusek,74,N,Prusek,CZE,8468037,R,176,20052006,0,9,6,0,20,3.21385,3,0,0,0,0.87878,145,165,0,CBJ,NA,22403,3
Sault Ste. Marie,CAN,1975-08-13,ON,124,5,1994,Marty Turco,71,N,Turco,CAN,8460612,L,184,20052006,2,73,72,0,184,2.61042,23,5,30,2,0.89545,1576,1760,3,DAL,NA,253752,42
Chandler,CAN,1978-01-09,QC,44,2,1996,Mathieu Garon,73,N,Garon,CAN,8464999,R,198,20052006,3,63,61,0,185,3.22098,26,3,8,3,0.89355,1553,1738,4,LAK,NA,206769,31
Beauport,CAN,1981-06-17,QC,22,1,1999,Maxime Ouellet,74,N,Ouellet,CAN,8467895,L,194,20052006,0,4,3,0,12,3.24909,2,1,2,0,0.8938,101,113,0,VAN,NA,13296,0
Saskatoon,CAN,1982-11-25,SK,80,3,2001,Michael Garnett,73,N,Garnett,CAN,8469529,L,210,20052006,2,24,20,0,73,3.44488,7,4,0,2,0.88485,561,634,2,ATL,NA,76287,10
Turku,FIN,1976-10-26,NA,116,5,1995,Miikka Kiprusoff,73,N,Kiprusoff,FIN,8462147,L,185,20052006,2,81,80,0,167,2.08417,24,11,12,2,0.92243,1986,2153,10,CGY,NA,288459,45
Tampere,FIN,1979-06-17,NA,21,1,1997,Mika Noronen,74,N,Noronen,FIN,8466156,L,196,20052006,0,8,5,0,22,3.89629,3,0,2,0,0.85714,132,154,0,"BUF,VAN",NA,20327,2
Sundbyberg,SWE,1979-09-19,NA,70,3,2000,Mikael Tellqvist,72,N,Tellqvist,SWE,8468550,L,189,20052006,0,25,22,0,73,3.13144,11,2,0,0,0.89526,624,697,2,TOR,NA,83923,10
Johnson City,USA,1972-06-01,NY,53,3,1990,Mike Dunham,74,N,Dunham,USA,8456137,L,190,20052006,0,17,13,0,36,2.77159,5,2,0,0,0.89285,300,336,1,ATL,NA,46760,8
Medford,USA,1979-07-11,MA,186,7,1998,Mike Morrison,75,N,Morrison,USA,8467486,L,194,20052006,1,25,18,0,54,2.94871,4,3,2,1,0.88183,403,457,0,"EDM,OTT",NA,65927,11
Sverdlovsk,RUS,1973-01-13,NA,204,9,1992,Nikolai Khabibulin,73,N,Khabibulin,RUS,8459140,L,208,20052006,1,50,50,0,157,3.34687,26,6,10,1,0.88614,1222,1379,0,CHI,NA,168874,17
Yellow Grass,CAN,1980-01-15,SK,166,5,2000,Nolan Schaefer,74,N,Schaefer,CAN,8468646,R,200,20052006,0,7,5,0,11,1.87393,1,0,2,0,0.92028,127,138,1,SJS,NA,21132,5
Johannesburg,ZAF,1970-04-06,NA,19,1,1989,Olie Kolzig,75,N,Kolzig,DEU,8448535,L,224,20052006,3,59,58,0,206,3.52533,28,11,14,3,0.89632,1781,1987,0,WSH,NA,210363,20
Repentigny,CAN,1982-11-07,QC,8,1,2001,Pascal Leclaire,74,N,Leclaire,CAN,8469461,L,202,20052006,1,33,31,0,97,3.22679,15,3,2,1,0.91051,987,1084,0,CBJ,NA,108219,11
St. Bonaventure,CAN,1974-07-07,QC,156,6,1993,Patrick Lalime,75,N,Lalime,CAN,8459579,L,192,20052006,0,31,29,0,103,3.63643,18,8,0,0,0.88133,765,868,0,STL,NA,101968,4
Kempele,FIN,1982-11-03,NA,258,8,2004,Pekka Rinne,77,N,Rinne,FIN,8471469,L,217,20052006,0,2,1,0,4,3.80147,1,0,0,0,0.9,36,40,0,NSH,NA,3788,1
Banská Bystrica,SVK,1982-09-18,NA,63,2,2001,Peter Budaj,73,N,Budaj,SVK,8469514,L,196,20052006,1,34,29,0,86,2.86221,10,6,4,1,0.90046,778,864,2,COL,NA,108168,14
Buffalo,USA,1980-02-27,NY,38,2,1998,Philippe Sauve,72,N,Sauve,USA,8467364,L,190,20052006,0,13,9,0,39,3.97137,7,0,21,0,0.88181,291,330,0,"CGY,PHX",NA,35353,3
Hamilton,CAN,1982-09-28,ON,99,4,2001,Ray Emery,74,N,Emery,CAN,8469548,L,196,20052006,2,49,48,0,131,2.83566,16,4,2,2,0.90179,1203,1334,3,OTT,NA,166310,28
Vienna,AUT,1975-07-04,NA,261,8,2000,Reinhard Divis,71,N,Divis,AUT,8468741,L,197,20052006,0,12,5,0,37,4.67253,5,1,0,0,0.83982,194,231,0,STL,NA,28507,0
Winthrop,USA,1981-09-19,MA,1,1,2000,Rick DiPietro,72,N,DiPietro,USA,8468481,R,185,20052006,1,63,62,0,180,3.02386,24,5,28,1,0.89983,1617,1797,1,NYI,NA,214295,30
White,USA,1978-01-22,NY,139,6,1996,Robert Esche,73,N,Esche,USA,8465093,L,210,20052006,3,46,46,0,135,3.11432,15,5,6,3,0.89411,1140,1275,1,PHI,NA,156053,24
Brandon,CAN,1982-01-15,MB,151,5,2002,Robert McVicar,76,N,McVicar,CAN,8469750,L,202,20052006,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,VAN,NA,164,0
Montréal,CAN,1979-04-04,QC,4,1,1997,Roberto Luongo,75,Y,Luongo,CAN,8466141,L,215,20052006,3,75,73,0,213,2.96879,30,9,2,3,0.91438,2275,2488,4,FLA,NA,258287,35
East Lansing,USA,1980-07-17,MI,138,5,1999,Ryan Miller,74,N,Miller,USA,8468011,L,170,20052006,2,66,66,0,172,2.58987,21,3,2,2,0.91233,1790,1962,2,BUF,NA,239085,41
Des Moines,USA,1977-07-23,IA,215,8,1997,Scott Clemmensen,74,N,Clemmensen,USA,8466339,L,200,20052006,0,14,9,0,35,3.31544,4,2,0,0,0.88255,263,298,0,NJD,NA,38004,3
Windsor,CAN,1967-01-29,ON,24,2,1985,Sean Burke,76,N,Burke,CAN,8445769,L,209,20052006,1,38,28,0,87,2.86443,11,4,10,1,0.89403,734,821,2,TBL,NA,109341,14
Amqui,CAN,1980-06-25,QC,86,3,1999,Sebastien Caron,73,N,Caron,CAN,8467959,L,170,20052006,1,26,23,0,87,3.97774,9,5,0,1,0.8813,646,733,1,PIT,NA,78738,8
Toronto,CAN,1972-07-19,ON,101,5,1991,Steve Shields,75,N,Shields,CAN,8458615,L,215,20052006,0,5,5,0,19,4.28329,2,1,0,0,0.85271,110,129,0,ATL,NA,15969,1
Flint,USA,1974-04-15,MI,217,9,1994,Tim Thomas,71,N,Thomas,USA,8460703,L,201,20052006,1,38,35,0,101,2.7714,13,10,4,1,0.91673,1112,1213,1,BOS,NA,131197,12
Karlovy Vary,CZE,1976-07-02,NA,226,9,1994,Tomas Vokoun,73,N,Vokoun,CZE,8460712,R,210,20052006,2,61,60,0,160,2.66603,18,7,26,2,0.91935,1824,1984,4,NSH,NA,216051,36
Phoenix,USA,1976-03-30,AZ,NA,NA,NA,Ty Conklin,73,N,Conklin,USA,8469152,L,185,20052006,0,19,15,0,44,2.84518,6,1,2,0,0.87845,318,362,1,EDM,NA,55673,8
Tampere,FIN,1977-05-20,NA,90,4,1995,Vesa Toskala,70,N,Toskala,FIN,8462117,L,198,20052006,1,48,44,0,115,2.53184,12,4,4,1,0.90328,1074,1189,3,SJS,NA,163517,29
Ust-Kamenogorsk,KAZ,1979-08-20,NA,NA,NA,NA,Vitaly Kolesnik,74,N,Kolesnik,KAZ,8471915,L,198,20052006,1,8,7,0,20,3.24149,3,0,2,1,0.88764,158,178,0,COL,NA,22212,3
Invermere,CAN,1979-01-30,BC,NA,NA,NA,Wade Dubielewicz,70,N,Dubielewicz,CAN,8470584,L,185,20052006,0,7,4,0,15,2.9001,3,0,0,0,0.89655,130,145,0,NYI,NA,18620,2
Lafontaine,CAN,1981-06-21,QC,NA,NA,NA,Yann Danis,71,N,Danis,CAN,8471186,L,180,20052006,0,6,5,0,14,2.69015,2,0,0,0,0.90789,138,152,1,MTL,NA,18735,3
Cold Lake,CAN,1981-01-07,AB,40,2,1999,Alex Auld,76,N,Auld,CAN,8467913,L,215,20062007,1,27,25,0,82,3.34576,13,5,2,1,0.88751,647,729,1,FLA,NA,88231,7
Belleville,CAN,1980-05-04,ON,135,5,1998,Andrew Raycroft,73,N,Raycroft,CAN,8467453,L,180,20062007,1,72,71,0,205,2.99393,25,9,8,1,0.89383,1726,1931,2,TOR,NA,246498,37
Turku,FIN,1980-06-18,NA,168,6,1998,Antero Niittymaki,73,N,Niittymaki,FIN,8467511,L,195,20062007,0,52,46,0,166,3.38449,29,9,2,0,0.89406,1401,1567,0,PHI,NA,176570,9
Swan River,CAN,1983-08-08,MB,73,3,2002,Barry Brust,74,N,Brust,CAN,8470264,L,225,20062007,0,11,7,0,30,3.70078,4,1,0,0,0.87755,215,245,0,LAK,NA,29183,2
Farmington,USA,1977-03-12,MI,129,5,1995,Brent Johnson,75,N,Johnson,USA,8462161,L,199,20062007,1,30,28,0,99,3.61218,15,7,4,1,0.88926,795,894,0,WSH,NA,98666,6
Woonsocket,USA,1977-01-02,RI,22,1,1995,Brian Boucher,74,N,Boucher,USA,8462052,L,200,20062007,0,18,16,0,54,3.34336,11,3,0,0,0.88157,402,456,1,"CHI,CBJ",NA,58145,2
Sault Ste. Marie,CAN,1981-07-03,ON,6,1,1999,Brian Finley,74,N,Finley,CAN,8467879,R,205,20062007,0,2,1,0,3,3.03797,1,0,0,0,0.90909,30,33,0,BOS,NA,3555,0
Saskatoon,CAN,1984-02-29,SK,25,1,2002,Cam Ward,73,N,Ward,CAN,8470320,L,194,20062007,1,60,59,0,167,2.92811,21,6,6,1,0.89723,1458,1625,2,CAR,NA,205320,30
Red Deer,CAN,1976-04-20,AB,122,5,1995,Chris Mason,72,N,Mason,CAN,8462152,L,198,20062007,1,40,38,0,93,2.3829,11,4,4,1,0.92524,1151,1244,5,NSH,NA,140501,24
Peace River,CAN,1972-11-26,AB,54,3,1991,Chris Osgood,70,N,Osgood,CAN,8458568,L,180,20062007,1,21,19,0,46,2.37726,3,6,6,1,0.90725,450,496,0,DET,NA,69660,11
Park Ridge,USA,1981-05-21,IL,73,3,2001,Craig Anderson,74,N,Anderson,USA,8467950,L,187,20062007,0,5,3,0,8,2.21317,1,1,0,0,0.93103,108,116,0,FLA,NA,13013,1
Saint-Martin-d'Hères,FRA,1975-09-03,NA,214,7,2001,Cristobal Huet,73,N,Huet,FRA,8469658,L,205,20062007,1,42,39,0,107,2.80809,16,3,0,1,0.9164,1173,1280,2,MTL,NA,137175,19
Keswick,CAN,1967-04-29,ON,NA,NA,NA,Curtis Joseph,71,N,Joseph,CAN,8448382,L,193,20062007,0,55,50,0,159,3.18711,31,2,10,0,0.89264,1322,1481,4,PHX,NA,179598,18
Owen Sound,CAN,1979-10-05,ON,NA,NA,NA,Curtis Sanford,71,N,Sanford,CAN,8468166,L,187,20062007,0,31,26,0,79,3.17772,12,5,0,0,0.88826,628,707,0,STL,NA,89498,8
Mont-Laurier,CAN,1976-04-22,QC,26,1,1994,Dan Cloutier,73,N,Cloutier,CAN,8460516,L,195,20062007,1,24,23,0,85,3.98038,14,2,21,1,0.86019,523,608,0,LAK,NA,76877,6
Val-d'Or,CAN,1980-09-02,QC,108,4,1998,Dany Sabourin,76,N,Sabourin,CAN,8467430,L,204,20062007,0,11,7,0,22,2.67188,4,1,0,0,0.90638,213,235,0,VAN,NA,29642,2
Fribourg,CHE,1978-02-07,NA,161,6,1997,David Aebischer,73,N,Aebischer,CHE,8466290,L,187,20062007,0,32,27,0,93,3.16958,12,3,2,0,0.89989,836,929,0,MTL,NA,105629,13
Fernie,CAN,1983-05-23,BC,46,2,2002,David Leneveu,73,N,Leneveu,CAN,8470263,L,190,20062007,0,6,3,0,15,3.86127,1,0,0,0,0.89436,127,142,0,PHX,NA,13985,2
Pardubice,CZE,1965-01-29,NA,199,10,1983,Dominik Hasek,73,Y,Hasek,CZE,8447687,L,166,20062007,2,74,74,0,148,1.98184,19,6,22,2,0.91557,1605,1753,10,DET,NA,268840,48
Simcoe,CAN,1969-10-12,ON,NA,NA,NA,Dwayne Roloson,73,N,Roloson,CAN,8460806,L,170,20062007,3,68,66,0,180,2.747,34,6,12,3,0.90858,1789,1969,4,EDM,NA,235893,27
Carman,CAN,1965-04-21,MB,NA,NA,NA,Ed Belfour,72,Y,Belfour,CAN,8445386,L,214,20062007,2,58,54,0,152,2.77264,17,10,10,2,0.90193,1398,1550,1,FLA,NA,197357,27
Kamenogorsk,KAZ,1975-07-25,NA,219,9,1994,Evgeni Nabokov,72,N,Nabokov,RUS,8460705,L,202,20062007,0,61,60,0,132,2.27667,21,4,6,0,0.91483,1418,1550,8,SJS,NA,208725,31
Sorel,CAN,1975-06-12,QC,210,9,1994,Frederic Cassivi,76,N,Cassivi,CAN,8460696,L,220,20062007,0,4,1,0,6,2.59615,1,1,0,0,0.89655,52,58,0,WSH,NA,8320,0
Pietarsaari,FIN,1973-11-29,NA,213,7,2002,Fredrik Norrena,72,N,Norrena,FIN,8470090,L,190,20062007,0,55,50,0,137,2.78442,23,3,6,0,0.90352,1283,1420,3,CBJ,NA,177128,24
Kalvola,FIN,1984-05-18,NA,29,1,2002,Hannu Toivonen,74,N,Toivonen,FIN,8470084,L,200,20062007,0,18,14,0,63,4.22952,9,1,2,0,0.8745,439,502,0,BOS,NA,53623,3
Are,SWE,1982-03-02,NA,205,7,2000,Henrik Lundqvist,73,Y,Lundqvist,SWE,8468685,L,182,20062007,0,80,79,0,182,2.30085,26,8,0,0,0.91794,2036,2218,6,NYR,NA,284764,43
Togliatti,RUS,1980-06-22,NA,44,2,2000,Ilya Bryzgalov,75,N,Bryzgalov,RUS,8468524,L,213,20062007,0,32,30,0,72,2.4333,9,6,0,0,0.90954,724,796,1,ANA,NA,106522,13
Edmonton,CAN,1971-06-30,AB,48,3,1991,Jamie McLennan,72,N,McLennan,CAN,8458562,L,199,20062007,0,10,8,0,32,3.60247,5,1,28,0,0.89473,272,304,0,CGY,NA,31978,3
